date,pm25,pm10,o3,no2,so2,co
2022/5/20, 32, 17, 14, 7, 18, 6
2022/5/21, 19, 17, 13, 14, 19, 5
2022/5/22, 31, 28, 14, 12, 20, 5
2022/5/23, 47, 23, 14, 5, 20, 6
2022/5/24, 33, 14, 13, 5, 19, 4
2022/5/25, 19, 13, 14, 10, 18, 8
2022/5/26, 22, 19, 13, 13, 19, 5
2022/5/27, 34, 25, 13, 15, 20, 5
2022/5/28, 42, 26, 13, 16, 20, 4
2022/5/29, 53, 33, 14, 19, 20, 3
2022/5/30, 58, 40, 13, 16, 20, 6
2022/5/31, 61, 39, 13, 12, 20, 5
2022/6/1, 55, 40, 13, 16, 21, 2
2022/6/2, 57, 62, 13, 21, 22, 5
2022/6/3, 70, 71, 13, 18, 22, 7
2022/6/4, 83, 70, 13, 10, 17, 6
2022/6/5, 80, 49, 13, 8, 22, 2
2022/6/6, 65, 44, 14, 9, 22, 5
2022/6/7, 60, 40, 13, 13, 22, 3
2022/6/8, 56, 62, 13, 15, 24, 3
2022/6/9, 68, 23, 13, 12, 24, 3
2022/6/10, 42, 22, 13, 9, 24, 2
2022/6/11, 41, 29, 14, 13, 25, 2
2022/6/12, 52, 38, 13, 15, 28, 5
2022/6/13, 58, 27, 13, 13, 26, 3
2022/6/14, 47, 31, 14, 11, 28, 3
2022/6/15, 51, 24, 13, 5, 28, 2
2022/6/16, 38, 25, 13, 10, 30, 3
2022/6/17, 46, 25, 13, 11, 32, 3
2022/6/18, 53, 31, 13, 13, 32, 3
2022/6/19, 65, 32, 13, 12, 34, 3
2022/6/20, 63, 30, 13, 14, 39, 3
2022/6/21, 56, 23, 13, 6, 41, 2
2022/6/22, 41, 16, 13, 5, 42, 2
2022/6/23, 23, 23, 13, 8, 43, 2
2022/6/24, 32, 17, 13, 14, 45, 3
2022/6/25, 33, 19, 13, 14, 48, 3
2022/6/26, 42, 11, 24, 9, 51, 2
2022/6/27, 25, 24, 41, 9, 56, 3
2022/6/28, 48, 24, 47, 8, 56, 5
2022/6/29, 43, 33, 45, 11, 56, 2
2022/6/30, 54, 37, 52, 11, 56, 2
2022/1/4, 30, 9, 13, 15, 13, 3
2022/1/5, 24, 22, 13, 14, 13, 3
2022/1/6, 59, 40, 13, 21, 13, 8
2022/1/7, 90, 20, 13, 20, 14, 9
2022/1/8, 58, 40, 12, 14, 13, 4
2022/1/9, 92, 56, 13, 15, 13, 5
2022/1/10, 137, 67, 12, 17, 14, 14
2022/1/11, 156, 61, 12, 16, 14, 15
2022/1/12, 143, 62, 12, 17, 14, 15
2022/1/13, 146, 11, 12, 9, 13, 10
2022/1/14, 27, 7, 12, 6, 12, 3
2022/1/15, 17, 6, 12, 9, 13, 3
2022/1/16, 15, 10, 13, 14, 12, 3
2022/1/17, 28, 18, 13, 17, 12, 4
2022/1/18, 51, 31, 13, 21, 11, 5
2022/1/19, 79, 16, 13, 22, 12, 5
2022/1/20, 43, 9, 12, 10, 12, 3
2022/1/21, 22, 45, 12, 10, 11, 5
2022/1/22, 101, 55, 13, 18, 12, 11
2022/1/23, 131, 59, 12, 15, 13, 10
2022/1/24, 137, 38, 12, 18, 13, 16
2022/1/25, 78, 28, 13, 13, 12, 6
2022/1/26, 69, 55, 13, 17, 12, 5
2022/1/27, 128, 16, 13, 10, 13, 5
2022/1/28, 34, 13, 13, 13, 12, 2
2022/1/29, 37, 22, 12, 21, 12, 3
2022/1/30, 59, 32, 12, 20, 13, 3
2022/1/31, 74, 45, 13, 22, 13, 5
2022/2/1, 93, 46, 12, 17, 13, 9
2022/2/2, 93, 63, 13, 18, 13, 9
2022/2/3, 129, 70, 13, 21, 14, 12
2022/2/4, 139, 37, 12, 16, 14, 9
2022/2/5, 48, 13, 12, 6, 13, 4
2022/2/6, 18, 13, 13, 13, 12, 2
2022/2/7, 37, 26, 12, 16, 13, 3
2022/2/8, 61, 48, 13, 22, 13, 6
2022/2/9, 97, 34, 13, 25, 14, 7
2022/2/10, 74, 11, 12, 14, 12, 3
2022/2/11, 22, 22, 12, 11, 12, 2
2022/2/12, 54, 28, 12, 14, 12, 5
2022/2/13, 62, 25, 12, 10, 12, 3
2022/2/14, 53, 28, 12, 14, 11, 3
2022/2/15, 67, 29, 12, 15, 11, 4
2022/2/16, 75, 39, 12, 16, 12, 4
2022/2/17, 97, 47, 12, 18, 12, 5
2022/2/18, 115, 60, 12, 19, 13, 7
2022/2/19, 142, 46, 12, 13, 14, 8
2022/2/20, 90, 66, 12, 14, 13, 4
2022/2/21, 140, 36, 12, 15, 13, 7
2022/2/22, 77, 48, 12, 15, 13, 3
2022/2/23, 105, 63, 12, 21, 12, 7
2022/2/24, 141, 68, 12, 15, 13, 10
2022/2/25, 148, 76, 12, 24, 13, 8
2022/2/26, 160, 26, 13, 13, 14, 5
2022/2/27, 38, 23, 12, 7, 12, 3
2022/2/28, 47, 55, 12, 19, 13, 5
2022/3/1, 126, 50, 12, 20, 13, 5
2022/3/2, 116, 61, 12, 17, 14, 6
2022/3/3, 147, 43, 13, 14, 14, 9
2022/3/4, 102, 8, 12, 7, 15, 4
2022/3/5, 16, 13, 12, 12, 13, 3
2022/3/6, 39, 21, 12, 8, 14, 3
2022/3/7, 59, 36, 12, 15, 14, 3
2022/3/8, 77, 20, 12, 18, 14, 4
2022/3/9, 51, 13, 12, 18, 15, 5
2022/3/10, 42, 13, 12, 12, 14, 3
2022/3/11, 39, 11, 12, 12, 15, 6
2022/3/12, 40, 9, 12, 7, 14, 3
2022/3/13, 29, 13, 12, 16, 13, 4
2022/3/14, 46, 13, 12, 21, 13, 4
2022/3/15, 49, 8, 12, 13, 13, 3
2022/3/16, 23, 10, 12, 9, 14, 2
2022/3/17, 26, 15, 12, 12, 13, 3
2022/3/18, 48, 13, 12, 15, 13, 3
2022/3/19, 48, 19, 12, 22, 13, 6
2022/3/20, 63, 17, 12, 21, 14, 6
2022/3/21, 62, 24, 12, 21, 13, 6
2022/3/22, 70, 27, 12, 21, 14, 4
2022/3/23, 75, 26, 12, 21, 13, 4
2022/3/24, 75, 23, 12, 21, 14, 4
2022/3/25, 64, 20, 12, 14, 15, 3
2022/3/26, 56, 22, 12, 9, 14, 3
2022/3/27, 61, 26, 12, 9, 14, 2
2022/3/28, 54, 31, 12, 8, 14, 2
2022/3/29, 46, 45, 12, 16, 13, 3
2022/3/30, 78, 46, 12, 21, 14, 7
2022/3/31, 77, 54, 12, 19, 15, 7
2021/11/13, 71, 49, 14, 13, 11, 10
2021/11/14, 106, , 15, 15, 12, 4
